,sample_name,smartseq_cluster_id,smartseq_cluster,sex_label,smartseq_cluster_color,medical_cond_label,cell_counts,n_genes,percent_mito,pass_count_filter,pass_mito_filter
SQ-80011_S93_E1-50,SQ-80011_S93_E1-50,29,Esr1_5 Ngf,M,#189C67,behavior - close investigation,951301.3,9086,0.0,True,True
SQ-80012_S02_E1-50,SQ-80012_S02_E1-50,31,Nup62cl,M,#FFDE17,behavior - mating,955837.9,8927,0.0,True,True
SQ-80012_S14_E1-50,SQ-80012_S14_E1-50,31,Nup62cl,M,#FFDE17,behavior - mating,957016.56,9362,0.0,True,True
SQ-80012_S30_E1-50,SQ-80012_S30_E1-50,31,Nup62cl,M,#FFDE17,behavior - mating,955139.56,9636,0.0,True,True
SQ-80012_S31_E1-50,SQ-80012_S31_E1-50,31,Nup62cl,M,#FFDE17,behavior - mating,949493.1,9311,0.0,True,True
LS-15919_S15_E1-50,LS-15919_S15_E1-50,31,Nup62cl,M,#FFDE17,behavior - none,966728.44,9652,0.0,True,True
SM-D9D7G_S40_E1-50,SM-D9D7G_S40_E1-50,29,Esr1_5 Ngf,M,#189C67,behavior - none,942537.3,8750,0.0,True,True
SM-D9D7M_S96_E1-50,SM-D9D7M_S96_E1-50,31,Nup62cl,M,#FFDE17,behavior - none,951114.7,9267,0.0,True,True
SM-DD45I_S090_E1-50,SM-DD45I_S090_E1-50,31,Nup62cl,M,#FFDE17,behavior - mating,949369.8,8094,0.0,True,True
SM-DD45I_S181_E1-50,SM-DD45I_S181_E1-50,31,Nup62cl,M,#FFDE17,behavior - mating,930054.8,7188,0.0,True,True
SM-DD45I_S186_E1-50,SM-DD45I_S186_E1-50,29,Esr1_5 Ngf,M,#189C67,behavior - mating,946554.75,8556,0.0,True,True
SM-DD45J_S042_E1-50,SM-DD45J_S042_E1-50,31,Nup62cl,M,#FFDE17,behavior - aggression,939429.44,7474,0.0,True,True
SM-DD45J_S087_E1-50,SM-DD45J_S087_E1-50,31,Nup62cl,M,#FFDE17,behavior - mating,945909.2,7755,0.0,True,True
SM-DD45J_S117_E1-50,SM-DD45J_S117_E1-50,31,Nup62cl,M,#FFDE17,behavior - no intruder,935948.9,8370,0.0,True,True
SM-DD45J_S165_E1-50,SM-DD45J_S165_E1-50,31,Nup62cl,M,#FFDE17,behavior - mating,952269.1,8423,0.0,True,True
SM-DD45Z_S101_E1-50,SM-DD45Z_S101_E1-50,31,Nup62cl,M,#FFDE17,behavior - close investigation,934138.06,7636,0.0,True,True
SM-DD45Z_S183_E1-50,SM-DD45Z_S183_E1-50,29,Esr1_5 Ngf,M,#189C67,behavior - none,933728.94,8780,0.0,True,True
SM-GE64D_S043_E1-50,SM-GE64D_S043_E1-50,31,Nup62cl,F,#FFDE17,behavior - none,953436.7,8704,0.0,True,True
SM-GE65U_S77_E1-50,SM-GE65U_S77_E1-50,31,Nup62cl,F,#FFDE17,behavior - none,948700.56,8530,0.0,True,True
SM-GE65U_S80_E1-50,SM-GE65U_S80_E1-50,31,Nup62cl,F,#FFDE17,behavior - none,946948.6,8351,0.0,True,True
SM-GE65U_S84_E1-50,SM-GE65U_S84_E1-50,31,Nup62cl,F,#FFDE17,behavior - none,950598.4,7971,0.0,True,True
SM-GE65V_S54_E1-50,SM-GE65V_S54_E1-50,31,Nup62cl,M,#FFDE17,behavior - none,953581.06,8718,0.0,True,True
SM-GE65V_S95_E1-50,SM-GE65V_S95_E1-50,31,Nup62cl,F,#FFDE17,behavior - none,949138.4,8719,0.0,True,True
SM-GE65W_S57_E1-50,SM-GE65W_S57_E1-50,31,Nup62cl,F,#FFDE17,behavior - none,966266.8,9256,0.0,True,True
SM-GE65W_S91_E1-50,SM-GE65W_S91_E1-50,31,Nup62cl,F,#FFDE17,behavior - none,947376.8,8402,0.0,True,True
SM-GE65X_S52_E1-50,SM-GE65X_S52_E1-50,29,Esr1_5 Ngf,F,#189C67,behavior - none,951919.5,8879,0.0,True,True
SM-GE65X_S56_E1-50,SM-GE65X_S56_E1-50,31,Nup62cl,F,#FFDE17,behavior - none,952127.44,8954,0.0,True,True
SM-GE65X_S78_E1-50,SM-GE65X_S78_E1-50,31,Nup62cl,F,#FFDE17,behavior - none,943037.9,8847,0.0,True,True
LS-15054_E1-50_S45,LS-15054_E1-50_S45,32,Satb2 Calcrl,M,#5472EB,behavior - none,946457.0,10302,0.0,True,True
LS-15054_E1-50_S46,LS-15054_E1-50_S46,32,Satb2 Calcrl,M,#5472EB,behavior - none,933634.06,9544,0.0,True,True
LS-15054_E1-50_S69,LS-15054_E1-50_S69,32,Satb2 Calcrl,M,#5472EB,behavior - none,932399.9,8978,0.0,True,True
LS-15055_E1-50_S36,LS-15055_E1-50_S36,32,Satb2 Calcrl,M,#5472EB,behavior - none,913042.7,6602,0.0,True,True
LS-15055_E1-50_S50,LS-15055_E1-50_S50,32,Satb2 Calcrl,M,#5472EB,behavior - none,935514.06,10048,0.0,True,True
LS-15055_E1-50_S57,LS-15055_E1-50_S57,32,Satb2 Calcrl,M,#5472EB,behavior - none,939210.9,8643,0.0,True,True
LS-15055_E1-50_S83,LS-15055_E1-50_S83,32,Satb2 Calcrl,M,#5472EB,behavior - none,939729.75,7917,0.0,True,True
LS-15056_E1-50_S14,LS-15056_E1-50_S14,32,Satb2 Calcrl,M,#5472EB,behavior - none,947779.56,8256,0.0,True,True
LS-15056_E1-50_S15,LS-15056_E1-50_S15,32,Satb2 Calcrl,M,#5472EB,behavior - none,926266.44,10107,0.0,True,True
LS-15056_E1-50_S36,LS-15056_E1-50_S36,32,Satb2 Calcrl,M,#5472EB,behavior - none,952716.06,8485,0.0,True,True
LS-15056_E1-50_S48,LS-15056_E1-50_S48,32,Satb2 Calcrl,M,#5472EB,behavior - none,953809.4,10088,0.0,True,True
LS-15056_E1-50_S64,LS-15056_E1-50_S64,32,Satb2 Calcrl,M,#5472EB,behavior - none,950585.7,9272,0.0,True,True
LS-15056_E1-50_S66,LS-15056_E1-50_S66,32,Satb2 Calcrl,M,#5472EB,behavior - none,945370.25,8791,0.0,True,True
LS-15057_E1-50_S01,LS-15057_E1-50_S01,32,Satb2 Calcrl,M,#5472EB,behavior - none,937519.9,9374,0.0,True,True
LS-15057_E1-50_S08,LS-15057_E1-50_S08,32,Satb2 Calcrl,M,#5472EB,behavior - none,939713.25,9391,0.0,True,True
LS-15079_S14_E1-50,LS-15079_S14_E1-50,29,Esr1_5 Ngf,M,#189C67,behavior - none,947405.75,9028,0.0,True,True
LS-15079_S53_E1-50,LS-15079_S53_E1-50,32,Satb2 Calcrl,F,#5472EB,behavior - none,952200.75,8229,0.0,True,True
LS-15301_S12_E1-50,LS-15301_S12_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,951413.94,9715,0.0,True,True
LS-15301_S16_E1-50,LS-15301_S16_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,973165.75,10851,0.0,True,True
LS-15301_S20_E1-50,LS-15301_S20_E1-50,32,Satb2 Calcrl,F,#5472EB,behavior - none,960755.1,9727,0.0,True,True
LS-15301_S37_E1-50,LS-15301_S37_E1-50,32,Satb2 Calcrl,F,#5472EB,behavior - none,966361.6,9924,0.0,True,True
LS-15301_S94_E1-50,LS-15301_S94_E1-50,32,Satb2 Calcrl,F,#5472EB,behavior - none,962875.9,10201,0.0,True,True
LS-15334_S06_E1-50,LS-15334_S06_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - mating,956590.0,10015,0.0,True,True
LS-15334_S20_E1-50,LS-15334_S20_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - mating,961541.75,9274,0.0,True,True
LS-15334_S24_E1-50,LS-15334_S24_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - mating,961387.5,9524,0.0,True,True
LS-15334_S26_E1-50,LS-15334_S26_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - mating,958464.4,9470,0.0,True,True
LS-15334_S74_E1-50,LS-15334_S74_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - mating,953211.1,9569,0.0,True,True
LS-15335_S47_E1-50,LS-15335_S47_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - mating,966207.0,9564,0.0,True,True
LS-15391_S69_E1-50,LS-15391_S69_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,965271.4,9744,0.0,True,True
LS-15391_S83_E1-50,LS-15391_S83_E1-50,29,Esr1_5 Ngf,M,#189C67,behavior - none,958218.75,10066,0.0,True,True
LS-15393_S85_E1-50,LS-15393_S85_E1-50,32,Satb2 Calcrl,F,#5472EB,behavior - none,959562.25,9434,0.0,True,True
LS-15550_S15_E1-50,LS-15550_S15_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - no intruder,967592.2,9858,0.0,True,True
LS-15550_S36_E1-50,LS-15550_S36_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - aggression,957276.0,9560,0.0,True,True
LS-15551_S24_E1-50,LS-15551_S24_E1-50,28,Esr1_4 Smoc2,M,#14C583,behavior - close investigation,953564.3,9623,0.0,True,True
LS-15551_S67_E1-50,LS-15551_S67_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - aggression,964232.7,9314,0.0,True,True
LS-15551_S83_E1-50,LS-15551_S83_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - mating,944520.56,9518,0.0,True,True
LS-15560_S15_E1-50,LS-15560_S15_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - no intruder,956405.4,9088,0.0,True,True
LS-15560_S37_E1-50,LS-15560_S37_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - aggression,959269.9,8873,0.0,True,True
LS-15560_S61_E1-50,LS-15560_S61_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - close investigation,973364.5,9557,0.0,True,True
SQ-80002_S03_E1-50,SQ-80002_S03_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - mating,956837.25,9937,0.0,True,True
SQ-80002_S52_E1-50,SQ-80002_S52_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - close investigation,952530.1,9377,0.0,True,True
SQ-80002_S56_E1-50,SQ-80002_S56_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - close investigation,957606.06,8571,0.0,True,True
SQ-80003_S35_E1-50,SQ-80003_S35_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - aggression,965647.56,9772,0.0,True,True
