,sample_name,smartseq_cluster_id,smartseq_cluster,sex_label,smartseq_cluster_color,medical_cond_label,cell_counts,n_genes,percent_mito,pass_count_filter,pass_mito_filter
SM-GE4R2_S062_E1-50,SM-GE4R2_S062_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,964371.56,9772,0.0,True,True
SM-GE4SI_S356_E1-50,SM-GE4SI_S356_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,973072.06,8253,0.0,True,True
SM-GE4SI_S172_E1-50,SM-GE4SI_S172_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,977132.6,9394,0.0,True,True
LS-15034_S07_E1-50,LS-15034_S07_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,948605.44,10643,0.0,True,True
LS-15034_S28_E1-50,LS-15034_S28_E1-50,42,Nr5a1_4|7 Glipr1,F,#763BFF,behavior - none,951803.0,10550,0.0,True,True
LS-15056_E1-50_S01,LS-15056_E1-50_S01,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,954984.75,10252,0.0,True,True
LS-15079_S16_E1-50,LS-15079_S16_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,957453.6,9782,0.0,True,True
LS-15301_S44_E1-50,LS-15301_S44_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,966993.56,11124,0.0,True,True
LS-15301_S47_E1-50,LS-15301_S47_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,960725.94,10336,0.0,True,True
LS-15301_S53_E1-50,LS-15301_S53_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,963680.94,10902,0.0,True,True
LS-15301_S56_E1-50,LS-15301_S56_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,960329.75,10427,0.0,True,True
LS-15301_S58_E1-50,LS-15301_S58_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,957904.4,10403,0.0,True,True
LS-15301_S61_E1-50,LS-15301_S61_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,967377.7,10693,0.0,True,True
LS-15301_S91_E1-50,LS-15301_S91_E1-50,46,Nr5a1_9|11 Rorb,F,#6C39A6,behavior - none,963526.5,9472,0.0,True,True
LS-15391_S12_E1-50,LS-15391_S12_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,956130.4,9507,0.0,True,True
LS-15391_S21_E1-50,LS-15391_S21_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,955540.3,9699,0.0,True,True
LS-15393_S09_E1-50,LS-15393_S09_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,956850.1,9706,0.0,True,True
LS-15393_S58_E1-50,LS-15393_S58_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,959662.7,10313,0.0,True,True
LS-15393_S59_E1-50,LS-15393_S59_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,959357.44,10915,0.0,True,True
LS-15393_S60_E1-50,LS-15393_S60_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,957700.9,10059,0.0,True,True
LS-15393_S65_E1-50,LS-15393_S65_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,961013.75,11258,0.0,True,True
LS-15393_S69_E1-50,LS-15393_S69_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,964524.25,9975,0.0,True,True
LS-15393_S72_E1-50,LS-15393_S72_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,962220.3,10191,0.0,True,True
LS-15393_S77_E1-50,LS-15393_S77_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,959501.0,10841,0.0,True,True
LS-15393_S80_E1-50,LS-15393_S80_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,960086.4,10615,0.0,True,True
LS-15394_S57_E1-50,LS-15394_S57_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,961726.56,9767,0.0,True,True
LS-15394_S63_E1-50,LS-15394_S63_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,968587.7,10823,0.0,True,True
LS-15394_S66_E1-50,LS-15394_S66_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,964347.94,10067,0.0,True,True
LS-15394_S67_E1-50,LS-15394_S67_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,966434.8,10425,0.0,True,True
LS-15394_S69_E1-50,LS-15394_S69_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,969978.9,10566,0.0,True,True
LS-15394_S72_E1-50,LS-15394_S72_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,964775.94,10222,0.0,True,True
LS-15394_S87_E1-50,LS-15394_S87_E1-50,46,Nr5a1_9|11 Rorb,F,#6C39A6,behavior - none,968098.25,9150,0.0,True,True
SM-DD45K_S046_E1-50,SM-DD45K_S046_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - aggression,970159.2,9752,0.0,True,True
SM-GE4R1_S166_E1-50,SM-GE4R1_S166_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,964989.56,8550,0.0,True,True
SM-GE4R1_S168_E1-50,SM-GE4R1_S168_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,969742.94,9281,0.0,True,True
SM-GE4R1_S175_E1-50,SM-GE4R1_S175_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,975578.2,10296,0.0,True,True
SM-GE4R1_S189_E1-50,SM-GE4R1_S189_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,965948.6,9714,0.0,True,True
SM-GE4R1_S260_E1-50,SM-GE4R1_S260_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,971189.1,8868,0.0,True,True
SM-GE4R1_S268_E1-50,SM-GE4R1_S268_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,971216.56,10071,0.0,True,True
SM-GE4R1_S269_E1-50,SM-GE4R1_S269_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,973352.44,8805,0.0,True,True
SM-GE4R4_S099_E1-50,SM-GE4R4_S099_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,971929.3,8833,0.0,True,True
SM-GE4QH_S367_E1-50,SM-GE4QH_S367_E1-50,44,Nr5a1_2 Ctxn3,M,#B57FF1,behavior - none,974292.06,10244,0.0,True,True
SM-GE4QH_S374_E1-50,SM-GE4QH_S374_E1-50,41,Nr5a1_1 Npffr2,M,#BF3BFF,behavior - none,969391.56,8775,0.0,True,True
SM-GE5Q6_S038_E1-50,SM-GE5Q6_S038_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,957441.9,9466,0.0,True,True
SM-GE5Q6_S077_E1-50,SM-GE5Q6_S077_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,973068.6,9307,0.0,True,True
SM-GE5Q6_S082_E1-50,SM-GE5Q6_S082_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,967911.2,8965,0.0,True,True
SM-GE5Q6_S140_E1-50,SM-GE5Q6_S140_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,967392.2,9214,0.0,True,True
SM-GE5Q6_S147_E1-50,SM-GE5Q6_S147_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,968137.7,9065,0.0,True,True
SM-GE5Q6_S158_E1-50,SM-GE5Q6_S158_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,975535.06,9470,0.0,True,True
SM-GE5Q6_S320_E1-50,SM-GE5Q6_S320_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,971342.6,9830,0.0,True,True
SM-GE5Q6_S344_E1-50,SM-GE5Q6_S344_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,969600.25,9788,0.0,True,True
SM-GE5Q6_S368_E1-50,SM-GE5Q6_S368_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,960991.25,8602,0.0,True,True
SM-GE5Q6_S381_E1-50,SM-GE5Q6_S381_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,948921.06,9134,0.0,True,True
LS-15056_E1-50_S45,LS-15056_E1-50_S45,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,948550.44,8932,0.0,True,True
LS-15301_S49_E1-50,LS-15301_S49_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,963945.9,10638,0.0,True,True
LS-15301_S59_E1-50,LS-15301_S59_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,964771.3,10839,0.0,True,True
LS-15301_S62_E1-50,LS-15301_S62_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,965775.5,10595,0.0,True,True
LS-15301_S63_E1-50,LS-15301_S63_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,962918.3,10157,0.0,True,True
LS-15335_S32_E1-50,LS-15335_S32_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - aggression,960610.06,11294,0.0,True,True
LS-15391_S10_E1-50,LS-15391_S10_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,956247.75,9552,0.0,True,True
LS-15392_S04_E1-50,LS-15392_S04_E1-50,42,Nr5a1_4|7 Glipr1,F,#763BFF,behavior - none,948239.3,9639,0.0,True,True
LS-15392_S08_E1-50,LS-15392_S08_E1-50,46,Nr5a1_9|11 Rorb,F,#6C39A6,behavior - none,955353.1,10664,0.0,True,True
LS-15392_S18_E1-50,LS-15392_S18_E1-50,42,Nr5a1_4|7 Glipr1,F,#763BFF,behavior - none,952560.06,10329,0.0,True,True
LS-15393_S64_E1-50,LS-15393_S64_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,961011.94,10234,0.0,True,True
LS-15393_S76_E1-50,LS-15393_S76_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,964895.8,10317,0.0,True,True
LS-15393_S79_E1-50,LS-15393_S79_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,962930.5,9247,0.0,True,True
LS-15393_S86_E1-50,LS-15393_S86_E1-50,46,Nr5a1_9|11 Rorb,F,#6C39A6,behavior - none,962334.44,10381,0.0,True,True
LS-15394_S10_E1-50,LS-15394_S10_E1-50,46,Nr5a1_9|11 Rorb,F,#6C39A6,behavior - none,953407.2,9292,0.0,True,True
LS-15394_S70_E1-50,LS-15394_S70_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,964348.75,9923,0.0,True,True
LS-15394_S74_E1-50,LS-15394_S74_E1-50,46,Nr5a1_9|11 Rorb,F,#6C39A6,behavior - none,967752.7,10254,0.0,True,True
SQ-80003_S83_E1-50,SQ-80003_S83_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - mating,959947.0,10113,0.0,True,True
LS-15919_S52_E1-50,LS-15919_S52_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,959915.9,9646,0.0,True,True
LS-15919_S96_E1-50,LS-15919_S96_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,971008.8,10722,0.0,True,True
LS-15922_S60_E1-50,LS-15922_S60_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,955591.4,10220,0.0,True,True
LS-15922_S83_E1-50,LS-15922_S83_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,968439.5,10054,0.0,True,True
SM-D9EQC_S41_E1-50,SM-D9EQC_S41_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,957991.0,9074,0.0,True,True
SM-D9EQE_S66_E1-50,SM-D9EQE_S66_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,950643.06,8807,0.0,True,True
SM-D9EQE_S76_E1-50,SM-D9EQE_S76_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,948194.25,9337,0.0,True,True
SM-DD45D_S187_E1-50,SM-DD45D_S187_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - mating,967331.6,8802,0.0,True,True
SM-DD45I_S067_E1-50,SM-DD45I_S067_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - no intruder,946256.25,8502,0.0,True,True
SM-DD45I_S177_E1-50,SM-DD45I_S177_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - mating,957628.7,8541,0.0,True,True
SM-DD45I_S185_E1-50,SM-DD45I_S185_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - mating,955657.5,8351,0.0,True,True
SM-GE65U_S53_E1-50,SM-GE65U_S53_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,958966.9,8484,0.0,True,True
SM-GE4R2_S155_E1-50,SM-GE4R2_S155_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,964880.75,9037,0.0,True,True
SM-GE4R2_S369_E1-50,SM-GE4R2_S369_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,968835.44,9552,0.0,True,True
SM-GE5Q6_S126_E1-50,SM-GE5Q6_S126_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,957816.56,9110,0.0,True,True
SM-GE5Q6_S325_E1-50,SM-GE5Q6_S325_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,974899.56,9326,0.0,True,True
LS-15034_S08_E1-50,LS-15034_S08_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,952196.25,10248,0.0,True,True
LS-15079_S20_E1-50,LS-15079_S20_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,953010.94,9660,0.0,True,True
SM-D9EQF_S71_E1-50,SM-D9EQF_S71_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,949126.8,9568,0.0,True,True
SM-DD45I_S164_E1-50,SM-DD45I_S164_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - aggression,957677.75,8884,0.0,True,True
SM-DD45J_S046_E1-50,SM-DD45J_S046_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - aggression,957457.7,8478,0.0,True,True
SM-DD45J_S167_E1-50,SM-DD45J_S167_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - mating,950795.5,8788,0.0,True,True
SM-DD45K_S056_E1-50,SM-DD45K_S056_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - aggression,970169.2,9888,0.0,True,True
SM-GE4R1_S045_E1-50,SM-GE4R1_S045_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,972547.8,7517,0.0,True,True
SM-GE4R1_S051_E1-50,SM-GE4R1_S051_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,959307.6,7902,0.0,True,True
SM-GE4R1_S061_E1-50,SM-GE4R1_S061_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,975090.9,8984,0.0,True,True
SM-GE4R1_S068_E1-50,SM-GE4R1_S068_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,972761.0,9751,0.0,True,True
SM-GE4R1_S074_E1-50,SM-GE4R1_S074_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,968997.6,9252,0.0,True,True
SM-GE4R1_S078_E1-50,SM-GE4R1_S078_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,967738.3,9671,0.0,True,True
SM-GE4R1_S082_E1-50,SM-GE4R1_S082_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,960557.06,7456,0.0,True,True
SM-GE4R1_S085_E1-50,SM-GE4R1_S085_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,967696.94,10612,0.0,True,True
SM-GE4R1_S086_E1-50,SM-GE4R1_S086_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,963260.75,9488,0.0,True,True
SM-GE4R1_S087_E1-50,SM-GE4R1_S087_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,972816.4,9582,0.0,True,True
SM-GE4R1_S146_E1-50,SM-GE4R1_S146_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,954308.8,9150,0.0,True,True
SM-GE4R1_S152_E1-50,SM-GE4R1_S152_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,968549.6,8612,0.0,True,True
SM-GE4R1_S158_E1-50,SM-GE4R1_S158_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,976493.94,8978,0.0,True,True
SM-GE4R1_S172_E1-50,SM-GE4R1_S172_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,975819.1,11038,0.0,True,True
SM-GE4R1_S176_E1-50,SM-GE4R1_S176_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,958815.1,8266,0.0,True,True
SM-GE4R1_S177_E1-50,SM-GE4R1_S177_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,960870.5,8166,0.0,True,True
SM-GE4R1_S178_E1-50,SM-GE4R1_S178_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,970165.5,10444,0.0,True,True
SM-GE4R1_S186_E1-50,SM-GE4R1_S186_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,956838.25,5917,0.0,True,True
SM-GE4R1_S187_E1-50,SM-GE4R1_S187_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,963956.1,9772,0.0,True,True
SM-GE4R1_S188_E1-50,SM-GE4R1_S188_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,961575.8,7917,0.0,True,True
SM-GE4R1_S249_E1-50,SM-GE4R1_S249_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,967265.1,8590,0.0,True,True
SM-GE4R1_S256_E1-50,SM-GE4R1_S256_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,965576.6,7868,0.0,True,True
SM-GE4R1_S257_E1-50,SM-GE4R1_S257_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,970904.6,9613,0.0,True,True
SM-GE4R1_S258_E1-50,SM-GE4R1_S258_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,963356.9,8022,0.0,True,True
SM-GE4R1_S263_E1-50,SM-GE4R1_S263_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,962521.06,7890,0.0,True,True
SM-GE4R1_S272_E1-50,SM-GE4R1_S272_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,959204.1,9014,0.0,True,True
SM-GE4R1_S275_E1-50,SM-GE4R1_S275_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,965791.7,7976,0.0,True,True
SM-GE4R1_S276_E1-50,SM-GE4R1_S276_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,971202.56,9012,0.0,True,True
SM-GE4R1_S277_E1-50,SM-GE4R1_S277_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,973266.8,9376,0.0,True,True
SM-GE4R1_S282_E1-50,SM-GE4R1_S282_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,963634.2,7760,0.0,True,True
SM-GE4R1_S356_E1-50,SM-GE4R1_S356_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,965048.2,9570,0.0,True,True
SM-GE4R1_S366_E1-50,SM-GE4R1_S366_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,971230.06,9194,0.0,True,True
SM-GE4R1_S374_E1-50,SM-GE4R1_S374_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,966598.3,9030,0.0,True,True
SM-GE4R1_S375_E1-50,SM-GE4R1_S375_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,966624.25,9004,0.0,True,True
SM-GE4R1_S383_E1-50,SM-GE4R1_S383_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,969715.44,8849,0.0,True,True
SM-GE4R2_S063_E1-50,SM-GE4R2_S063_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,964995.2,7530,0.0,True,True
SM-GE4R2_S073_E1-50,SM-GE4R2_S073_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,968277.94,9134,0.0,True,True
SM-GE4R2_S074_E1-50,SM-GE4R2_S074_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,956408.94,8155,0.0,True,True
SM-GE4R2_S076_E1-50,SM-GE4R2_S076_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,970648.1,9021,0.0,True,True
SM-GE4R2_S086_E1-50,SM-GE4R2_S086_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,969632.25,8602,0.0,True,True
SM-GE4R2_S087_E1-50,SM-GE4R2_S087_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,968587.2,9207,0.0,True,True
SM-GE4R2_S096_E1-50,SM-GE4R2_S096_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,968846.5,9285,0.0,True,True
SM-GE4R2_S154_E1-50,SM-GE4R2_S154_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,970262.8,7652,0.0,True,True
SM-GE4R2_S164_E1-50,SM-GE4R2_S164_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,970922.9,8652,0.0,True,True
SM-GE4R2_S169_E1-50,SM-GE4R2_S169_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,964026.6,8929,0.0,True,True
SM-GE4R2_S173_E1-50,SM-GE4R2_S173_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,970519.5,8968,0.0,True,True
SM-GE4R2_S178_E1-50,SM-GE4R2_S178_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,961874.4,7481,0.0,True,True
SM-GE4R2_S180_E1-50,SM-GE4R2_S180_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,966572.9,7876,0.0,True,True
SM-GE4R2_S182_E1-50,SM-GE4R2_S182_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,964769.56,8091,0.0,True,True
SM-GE4R2_S184_E1-50,SM-GE4R2_S184_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,970698.0,9851,0.0,True,True
SM-GE4R2_S185_E1-50,SM-GE4R2_S185_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,971059.6,9309,0.0,True,True
SM-GE4R2_S188_E1-50,SM-GE4R2_S188_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,970027.9,8639,0.0,True,True
SM-GE4R2_S249_E1-50,SM-GE4R2_S249_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,963642.06,8234,0.0,True,True
SM-GE4R2_S254_E1-50,SM-GE4R2_S254_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,966541.56,8456,0.0,True,True
SM-GE4R2_S262_E1-50,SM-GE4R2_S262_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,970534.06,6723,0.0,True,True
SM-GE4R2_S266_E1-50,SM-GE4R2_S266_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,969609.5,8844,0.0,True,True
SM-GE4R2_S269_E1-50,SM-GE4R2_S269_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,969021.06,9145,0.0,True,True
SM-GE4R2_S277_E1-50,SM-GE4R2_S277_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,974879.7,10003,0.0,True,True
SM-GE4R2_S278_E1-50,SM-GE4R2_S278_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,966719.0,8337,0.0,True,True
SM-GE4R2_S283_E1-50,SM-GE4R2_S283_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,963223.25,7808,0.0,True,True
SM-GE4R2_S284_E1-50,SM-GE4R2_S284_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,973966.6,8374,0.0,True,True
SM-GE4R2_S346_E1-50,SM-GE4R2_S346_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,966674.94,8651,0.0,True,True
SM-GE4R2_S348_E1-50,SM-GE4R2_S348_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,970864.5,9882,0.0,True,True
SM-GE4R2_S350_E1-50,SM-GE4R2_S350_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,969659.2,9519,0.0,True,True
SM-GE4R2_S352_E1-50,SM-GE4R2_S352_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,971327.2,8706,0.0,True,True
SM-GE4R2_S372_E1-50,SM-GE4R2_S372_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,967779.1,8866,0.0,True,True
SM-GE4R2_S375_E1-50,SM-GE4R2_S375_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,967502.06,8273,0.0,True,True
SM-GE4R3_S180_E1-50,SM-GE4R3_S180_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,976926.06,10473,0.0,True,True
SM-GE4R4_S019_E1-50,SM-GE4R4_S019_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,970186.3,9480,0.0,True,True
SM-GE4R4_S097_E1-50,SM-GE4R4_S097_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,970447.56,9371,0.0,True,True
SM-GE4R4_S117_E1-50,SM-GE4R4_S117_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,969349.2,9626,0.0,True,True
SM-GE4R4_S120_E1-50,SM-GE4R4_S120_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,975420.1,9284,0.0,True,True
SM-GE4R4_S197_E1-50,SM-GE4R4_S197_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,968377.7,9259,0.0,True,True
SM-GE4R4_S199_E1-50,SM-GE4R4_S199_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,965186.1,9071,0.0,True,True
SM-GE4R4_S200_E1-50,SM-GE4R4_S200_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,962613.6,8494,0.0,True,True
SM-GE4R4_S202_E1-50,SM-GE4R4_S202_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,962547.94,8209,0.0,True,True
SM-GE4R4_S205_E1-50,SM-GE4R4_S205_E1-50,43,Nr5a1_8 Tcf7l2,M,#903BFF,behavior - none,964386.7,8641,0.0,True,True
